fileid,lon,lat,date,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
100033,-0.1266852,51.5251894,202209,-0.23534817,0.13071084,-0.081688926,-0.12008956,-0.0789739,0.12405603,0.01150289,0.023545053,0.035643063,-0.03009593
100034,-0.12651607,51.52499128,202209,-0.05013392,0.09583277,-0.0871535,-0.06342452,-0.0077194376,0.15878601,0.10092652,0.06999986,0.023997543,0.012444903
100035,-0.126033024,51.52438813,202209,-0.064016774,0.16456038,-0.066323735,-0.10837347,0.07293173,0.12592496,0.07069501,0.061994173,0.05074424,0.010501754
100453,-0.148953827,51.51669728,202304,-0.08190513,0.009010022,-0.031796567,0.14664002,0.017817466,-0.017083135,-0.04314808,0.026569488,0.026221672,-0.052812763
100454,-0.15435573,51.5176172,202304,-0.00015154295,-0.084997796,-0.067784026,-0.017941019,-0.027162395,-0.015582415,-0.06166497,-0.045545448,-0.028241966,-0.0012550587
100455,-0.154008653,51.51767738,202304,0.021532081,-0.06202278,-0.028939027,-0.009730406,-0.06226239,-0.0767948,-0.058947492,-0.028482884,-0.042900044,0.0073148557
100456,-0.153661447,51.51773726,202304,-0.025170013,-0.0028697378,-0.015563431,-0.047793344,-0.084266186,-0.01962534,-0.048272066,-0.022386534,0.03696487,-0.027257679
100457,-0.1498989,51.5188659,202408,-0.2607315,-0.027825141,-0.0008530693,-0.0830264,-0.12884757,0.05003773,-0.032253314,-0.037534565,0.04973466,0.0149584785
100458,-0.14980808,51.51864842,202304,-0.16336156,0.030248303,-0.11779124,0.09889545,-0.03037065,-0.07912841,-0.0820114,-0.010849346,0.026338777,-0.041606616
100459,-0.149717416,51.51843091,202304,-0.2630148,0.13634972,-0.07305314,-0.00040483917,0.018033063,-0.025718417,0.14772895,-0.136693,-0.026314681,-0.064561285
100460,-0.149626754,51.5182134,202304,-0.0709219,0.04290029,-0.078565456,0.06482144,-0.050217334,0.07346885,-0.05437885,-0.04837006,0.06461782,-0.04699324
100463,-0.153313442,51.51779527,202304,0.15537104,-0.056349438,-0.062546544,0.032838278,0.001616969,0.037209317,-0.06484101,-0.006552315,0.036412403,-0.053160943
100464,-0.152964843,51.51785191,202304,0.16933545,-0.0056835036,-0.10173045,0.06727776,0.025400404,0.029271066,-0.048129767,-0.03019494,0.056104276,-0.10079209
100475,-0.1531524,51.5169555,202304,-0.0627278,0.12900597,0.027021322,-0.08121429,0.08724822,-0.05069681,0.063327625,-0.058189724,-0.010767257,-0.12644835
100476,-0.152825361,51.51704505,202304,0.094136894,0.096906945,-0.031051792,0.019520571,-0.037796024,0.05938236,-0.12838891,-0.04027122,0.008769005,-0.07392688
100477,-0.152945033,51.51645114,202304,-0.09514066,0.15425232,-0.0427601,0.078055054,-0.038536962,-0.018425856,-0.048061967,-0.09679846,0.023772005,-0.02714198
100478,-0.153170313,51.51661697,202304,-0.14413641,0.17592885,0.0347642,-0.103034176,0.07588047,-0.010029493,0.07573526,-0.108272195,-0.038219582,-0.088400036
100550,-0.163196288,51.51520274,202408,-0.070528,-0.08133492,0.09521521,-0.12692714,-0.09883185,0.03171981,-0.03482669,-0.014404014,-0.0020843293,0.01188451
100551,-0.163521284,51.515466,202408,0.107560754,-0.09180276,0.12045279,-0.073027395,0.032208,-0.054895703,-0.024132516,-0.050541624,0.0673888,0.0147608835
100635,-0.136396509,51.51367606,202408,0.0022029101,-0.15985914,-0.06706123,-0.021852652,-0.032450527,-0.074837044,0.042174682,0.04920832,-0.004550979,0.07074001
100636,-0.136539131,51.51388244,202408,-0.003496404,-0.17046787,-0.014338874,0.02372526,0.059033297,-0.047084045,-0.005749243,0.015972046,-0.014348055,-0.016808117
100641,-0.136681754,51.51408881,202408,-0.086879015,-0.13199727,-0.080180444,-0.005645961,-0.021382477,-0.06975507,0.022195125,0.022683688,-0.040547606,-0.008237947
100642,-0.137371941,51.51512652,202408,-0.029877905,-0.19782187,-0.052516762,-0.04462792,-0.038203903,-0.058206744,0.019967092,0.046442974,-0.011963246,0.0318709
100643,-0.137500114,51.51533655,202408,0.009211688,-0.22256532,-0.013244244,-0.014915071,0.08493749,0.008078602,0.02398129,0.004437459,0.0065468773,0.024513483
100644,-0.137598706,51.51555264,202408,-0.007122414,-0.22037782,0.015269619,-0.02045408,-0.07568951,0.097808465,0.028356707,-0.0018141571,0.017008359,0.021513106
